TL = 80000
dt = 500000
***
Running Scheduler
Images = 100
Inferences = 1
Sleeping for 5 seconds
TL = 80000
dt = 500000
***
Running Scheduler
Images = 100
Inferences = 1
Sleeping for 5 seconds
Main thread running
tdiff = 5.00531, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82232, val = 2
tdiff = 10.0122, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76184, val = 5
tdiff = 15.0189, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80720, val = 9
tdiff = 20.0278, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77264, val = 13
tdiff = 25.0377, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79424, val = 17
tdiff = 30.0464, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83744, val = 22
tdiff = 35.0567, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77480, val = 26
tdiff = 40.0645, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77048, val = 31
tdiff = 45.0731, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80072, val = 35
tdiff = 50.0816, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79208, val = 39
tdiff = 55.0892, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77264, val = 43
tdiff = 60.0964, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78776, val = 47
tdiff = 65.1044, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78344, val = 52
tdiff = 70.1177, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82232, val = 56
tdiff = 75.1254, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 81152, val = 60
tdiff = 80.1341, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79424, val = 65
tdiff = 85.1421, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77912, val = 68
tdiff = 90.153, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82448, val = 73
tdiff = 95.1608, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77048, val = 77
tdiff = 100.17, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82880, val = 80
tdiff = 105.179, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78344, val = 85
tdiff = 110.187, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82448, val = 88
tdiff = 115.195, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78992, val = 92
tdiff = 120.205, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78128, val = 96
tdiff = 125.215, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78560, val = 99
1.25715 per image
1.25715 per inference
