TL = 85000
graph = resnet50
version = 4
Images = 100
Inferences = 10
***
Running Scheduler
TL = 85000
graph = resnet50
version = 4
Images = 100
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv4/resnet50_TL85000_dt1000.csv
Main thread running
tdiff = 5.00001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84176, min_delta_t = 7404.39, val = 0
tdiff = 10.0002, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77048, min_delta_t = 7404.39, val = 2
tdiff = 15, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 79208, min_delta_t = 7404.39, val = 5
tdiff = 20.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 86984, min_delta_t = 7404.39, val = 7
tdiff = 25.0011, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84176, min_delta_t = 7404.39, val = 9
tdiff = 30.0014, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84176, min_delta_t = 7404.39, val = 12
tdiff = 35.0001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 78992, min_delta_t = 7404.39, val = 14
tdiff = 40.0006, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 78128, min_delta_t = 7404.39, val = 17
tdiff = 45.0005, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 79856, min_delta_t = 7404.39, val = 20
tdiff = 50.0004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83744, min_delta_t = 7404.39, val = 21
tdiff = 55.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83528, min_delta_t = 7404.39, val = 24
tdiff = 60.0012, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 79856, min_delta_t = 7404.39, val = 26
tdiff = 65.0001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 77912, min_delta_t = 7404.39, val = 29
tdiff = 70.0004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83528, min_delta_t = 7404.39, val = 31
tdiff = 75.0006, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83096, min_delta_t = 7404.39, val = 33
tdiff = 80.0011, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84176, min_delta_t = 7404.39, val = 36
tdiff = 85, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80720, min_delta_t = 7404.39, val = 38
tdiff = 90.0007, run_cpu_small = 1, run_cpu_big = 1, run_gpu = 1, temp = 76184, min_delta_t = 7404.39, val = 41
tdiff = 95.0001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83528, min_delta_t = 7404.39, val = 43
tdiff = 100, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83312, min_delta_t = 7404.39, val = 45
tdiff = 105.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 78992, min_delta_t = 7404.39, val = 47
tdiff = 110.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 78560, min_delta_t = 7404.39, val = 50
tdiff = 115.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84176, min_delta_t = 7404.39, val = 52
tdiff = 120, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82664, min_delta_t = 7404.39, val = 54
tdiff = 125.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 78128, min_delta_t = 7404.39, val = 56
tdiff = 130.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 79208, min_delta_t = 7404.39, val = 60
tdiff = 135.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82448, min_delta_t = 7404.39, val = 61
