TL = 80000
graph = resnet50
version = 
Images = 100
Inferences = 10
***
Profiling Time
[1/3] Processing CPU Small
CPU Big [96/100] 5.38542
CPU Big [97/100] 4.92419
CPU Big [98/100] 5.62886
CPU Big [99/100] 4.96262
CPU Big [100/100] 5.16818
CPU Big Average 5.3943
[3/3] Processing GPU
GPU [1/100] 7.84809
GPU [2/100] 9.21175
GPU [3/100] 2.645
GPU [4/100] 2.49604
GPU [5/100] 2.76802
GPU [6/100] 2.74942
GPU [7/100] 2.4673
GPU [8/100] 2.35358
GPU [9/100] 2.41452
GPU [10/100] 2.84216
GPU [11/100] 2.19246
GPU [12/100] 2.76692
GPU [13/100] 2.51441
GPU [14/100] 2.77547
GPU [15/100] 2.71859
GPU [16/100] 2.43587
GPU [17/100] 9.16761
GPU [18/100] 2.63762
GPU [19/100] 2.27902
GPU [20/100] 2.91385
GPU [21/100] 9.21624
GPU [22/100] 3.15588
GPU [23/100] 2.42691
GPU [24/100] 2.69572
GPU [25/100] 2.60108
GPU [26/100] 2.3825
GPU [27/100] 2.47572
GPU [28/100] 9.27893
GPU [29/100] 3.06313
GPU [30/100] 2.83901
GPU [31/100] 2.33919
GPU [32/100] 2.87666
GPU [33/100] 2.23718
GPU [34/100] 2.32705
GPU [35/100] 2.31826
GPU [36/100] 2.21309
GPU [37/100] 2.66712
GPU [38/100] 2.74713
GPU [39/100] 2.36097
GPU [40/100] 9.03406
GPU [41/100] 2.73955
GPU [42/100] 4.27854
GPU [43/100] 2.78216
GPU [44/100] 9.2486
GPU [45/100] 9.22788
GPU [46/100] 2.85072
GPU [47/100] 2.4867
GPU [48/100] 9.20864
GPU [49/100] 2.7864
GPU [50/100] 2.5946
GPU [51/100] 2.85961
GPU [52/100] 2.86477
GPU [53/100] 2.43217
GPU [54/100] 2.6093
GPU [55/100] 2.53793
GPU [56/100] 2.69625
GPU [57/100] 5.96788
GPU [58/100] 5.82061
GPU [59/100] 4.63047
GPU [60/100] 9.25188
GPU [61/100] 7.16712
GPU [62/100] 5.77829
GPU [63/100] 9.26501
GPU [64/100] 2.43769
GPU [65/100] 2.92429
GPU [66/100] 9.13798
GPU [67/100] 2.6965
GPU [68/100] 2.59807
GPU [69/100] 3.87726
GPU [70/100] 2.23151
GPU [71/100] 3.24731
GPU [72/100] 3.16731
GPU [73/100] 2.38048
GPU [74/100] 3.49683
GPU [75/100] 4.43139
GPU [76/100] 4.41682
GPU [77/100] 2.53472
GPU [78/100] 9.129
GPU [79/100] 3.47634
GPU [80/100] 9.29466
GPU [81/100] 4.93681
GPU [82/100] 2.3198
GPU [83/100] 2.49962
GPU [84/100] 3.15629
GPU [85/100] 3.08606
GPU [86/100] 2.33661
GPU [87/100] 2.27074
GPU [88/100] 9.26824
GPU [89/100] 2.5609
GPU [90/100] 9.29312
GPU [91/100] 2.62594
GPU [92/100] 2.38193
GPU [93/100] 2.61287
GPU [94/100] 2.4906
GPU [95/100] 2.50773
GPU [96/100] 2.57284
GPU [97/100] 2.45748
GPU [98/100] 2.35348
GPU [99/100] 2.95116
GPU [100/100] 2.97556
GPU Average 3.92675
