TL = 80000
graph = alexnet
version = 
Images = 100
Inferences = 10
***
Profiling Time
[1/3] Processing CPU Small
CPU Big [95/100] 2.3858
CPU Big [96/100] 2.39506
CPU Big [97/100] 2.32649
CPU Big [98/100] 2.2957
CPU Big [99/100] 2.30431
CPU Big [100/100] 2.30329
CPU Big Average 2.31566
[3/3] Processing GPU
GPU [1/100] 5.47717
GPU [2/100] 1.30794
GPU [3/100] 1.47248
GPU [4/100] 1.58021
GPU [5/100] 1.7026
GPU [6/100] 2.63169
GPU [7/100] 1.28348
GPU [8/100] 2.28232
GPU [9/100] 1.26036
GPU [10/100] 1.20058
GPU [11/100] 1.32316
GPU [12/100] 1.09236
GPU [13/100] 1.25461
GPU [14/100] 1.33574
GPU [15/100] 1.24636
GPU [16/100] 1.35228
GPU [17/100] 2.7767
GPU [18/100] 1.34911
GPU [19/100] 1.21668
GPU [20/100] 3.0395
GPU [21/100] 2.51879
GPU [22/100] 3.17955
GPU [23/100] 1.45937
GPU [24/100] 2.89388
GPU [25/100] 1.24883
GPU [26/100] 1.33117
GPU [27/100] 1.43826
GPU [28/100] 1.27894
GPU [29/100] 1.18373
GPU [30/100] 1.0614
GPU [31/100] 3.1936
GPU [32/100] 1.38008
GPU [33/100] 1.30942
GPU [34/100] 1.13275
GPU [35/100] 1.44691
GPU [36/100] 1.30547
GPU [37/100] 1.46496
GPU [38/100] 2.73952
GPU [39/100] 2.85301
GPU [40/100] 3.13106
GPU [41/100] 1.60483
GPU [42/100] 1.32174
GPU [43/100] 1.31572
GPU [44/100] 1.33393
GPU [45/100] 1.26628
GPU [46/100] 1.31764
GPU [47/100] 1.57572
GPU [48/100] 1.31014
GPU [49/100] 1.45494
GPU [50/100] 1.41947
GPU [51/100] 1.92513
GPU [52/100] 1.62353
GPU [53/100] 1.27196
GPU [54/100] 3.18376
GPU [55/100] 1.25842
GPU [56/100] 1.38009
GPU [57/100] 1.36242
GPU [58/100] 1.39508
GPU [59/100] 1.3459
GPU [60/100] 2.89208
GPU [61/100] 1.46669
GPU [62/100] 1.47097
GPU [63/100] 1.33109
GPU [64/100] 1.46639
GPU [65/100] 1.38004
GPU [66/100] 1.33179
GPU [67/100] 1.43107
GPU [68/100] 1.19974
GPU [69/100] 1.45298
GPU [70/100] 1.4976
GPU [71/100] 1.37649
GPU [72/100] 2.79308
GPU [73/100] 1.32123
GPU [74/100] 1.37018
GPU [75/100] 1.49607
GPU [76/100] 1.36218
GPU [77/100] 2.82499
GPU [78/100] 2.86655
GPU [79/100] 1.38047
GPU [80/100] 2.77896
GPU [81/100] 1.41626
GPU [82/100] 2.87011
GPU [83/100] 1.37363
GPU [84/100] 2.90387
GPU [85/100] 1.4507
GPU [86/100] 1.02151
GPU [87/100] 1.69202
GPU [88/100] 1.32231
GPU [89/100] 1.55425
GPU [90/100] 1.45758
GPU [91/100] 1.42916
GPU [92/100] 1.35669
GPU [93/100] 1.54596
GPU [94/100] 1.35816
GPU [95/100] 1.40777
GPU [96/100] 1.36489
GPU [97/100] 1.36238
GPU [98/100] 1.35556
GPU [99/100] 1.44847
GPU [100/100] 1.4141
GPU Average 1.69999
