TL = 80000
graph = mobilenet
version = 
Images = 100
Inferences = 10
***
Profiling Time
[1/3] Processing CPU Small
CPU Big [95/100] 1.7566
CPU Big [96/100] 1.35461
CPU Big [97/100] 1.28747
CPU Big [98/100] 1.94815
CPU Big [99/100] 1.27355
CPU Big [100/100] 1.51244
CPU Big Average 1.44368
[3/3] Processing GPU
GPU [1/100] 3.81809
GPU [2/100] 1.9461
GPU [3/100] 0.727395
GPU [4/100] 1.94708
GPU [5/100] 1.12582
GPU [6/100] 1.7234
GPU [7/100] 1.84843
GPU [8/100] 0.664668
GPU [9/100] 0.918474
GPU [10/100] 0.613309
GPU [11/100] 0.781526
GPU [12/100] 1.92497
GPU [13/100] 2.02303
GPU [14/100] 1.47814
GPU [15/100] 1.95182
GPU [16/100] 1.26936
GPU [17/100] 1.95415
GPU [18/100] 0.689654
GPU [19/100] 1.94157
GPU [20/100] 2.02482
GPU [21/100] 2.01909
GPU [22/100] 1.94056
GPU [23/100] 1.98448
GPU [24/100] 1.04091
GPU [25/100] 0.585433
GPU [26/100] 0.590592
GPU [27/100] 1.96241
GPU [28/100] 0.649532
GPU [29/100] 0.633488
GPU [30/100] 0.706589
GPU [31/100] 1.96031
GPU [32/100] 1.98472
GPU [33/100] 0.601443
GPU [34/100] 0.659348
GPU [35/100] 0.603927
GPU [36/100] 0.635976
GPU [37/100] 0.609502
GPU [38/100] 1.97001
GPU [39/100] 0.663356
GPU [40/100] 1.9136
GPU [41/100] 0.607926
GPU [42/100] 1.92004
GPU [43/100] 0.644285
GPU [44/100] 1.89075
GPU [45/100] 0.62857
GPU [46/100] 1.9808
GPU [47/100] 0.660019
GPU [48/100] 2.01314
GPU [49/100] 0.637259
GPU [50/100] 1.36062
GPU [51/100] 1.36252
GPU [52/100] 0.666042
GPU [53/100] 0.692105
GPU [54/100] 0.602191
GPU [55/100] 2.02646
GPU [56/100] 0.635126
GPU [57/100] 0.735374
GPU [58/100] 1.06569
GPU [59/100] 1.94294
GPU [60/100] 0.714824
GPU [61/100] 1.97755
GPU [62/100] 0.584412
GPU [63/100] 1.93405
GPU [64/100] 0.601897
GPU [65/100] 1.99564
GPU [66/100] 0.693809
GPU [67/100] 0.609143
GPU [68/100] 1.97195
GPU [69/100] 0.593697
GPU [70/100] 1.91708
GPU [71/100] 1.72657
GPU [72/100] 1.88984
GPU [73/100] 1.88951
GPU [74/100] 1.47066
GPU [75/100] 0.92899
GPU [76/100] 1.19622
GPU [77/100] 1.06258
GPU [78/100] 0.994591
GPU [79/100] 0.747551
GPU [80/100] 1.07066
GPU [81/100] 0.624481
GPU [82/100] 0.786701
GPU [83/100] 1.04956
GPU [84/100] 0.853899
GPU [85/100] 2.00056
GPU [86/100] 0.867286
GPU [87/100] 0.612387
GPU [88/100] 1.78082
GPU [89/100] 1.94711
GPU [90/100] 1.93019
GPU [91/100] 1.55699
GPU [92/100] 1.29169
GPU [93/100] 1.94643
GPU [94/100] 0.673811
GPU [95/100] 1.95457
GPU [96/100] 0.806408
GPU [97/100] 0.908913
GPU [98/100] 0.585062
GPU [99/100] 0.622911
GPU [100/100] 0.595337
GPU Average 1.27125
